country_code,country_name,year,median_ppp_income
DE,Germany,1995,55277.14624999999
DE,Germany,1996,54184.165625
DE,Germany,1997,53100.26375
DE,Germany,1998,53640.95375
DE,Germany,1999,55795.13937499999
DE,Germany,2000,56456.206874999996
DE,Germany,2001,56622.4825
DE,Germany,2002,55908.2875
DE,Germany,2003,56181.490625
DE,Germany,2004,56493.53062499999
DE,Germany,2005,54909.120624999996
DE,Germany,2006,56852.981875
DE,Germany,2007,56853.31812499999
DE,Germany,2008,56748.744375
DE,Germany,2009,53923.73999999999
DE,Germany,2010,57005.975625
DE,Germany,2011,59022.466875
DE,Germany,2012,58513.72062499999
DE,Germany,2013,57509.84624999999
DE,Germany,2014,57800.02999999999
DE,Germany,2015,58802.223125
DE,Germany,2016,59935.55375
DE,Germany,2017,61785.9375
DE,Germany,2018,63221.556875
DE,Germany,2019,63289.98374999999
DE,Germany,2020,59869.985
DE,Germany,2021,62253.66124999999
DE,Germany,2022,63032.07999999999
DE,Germany,2023,62635.809375
FR,France,1995,46693.08255813953
FR,France,1996,47006.02965116279
FR,France,1997,48292.53779069767
FR,France,1998,49249.99011627907
FR,France,1999,50882.44476744186
FR,France,2000,51561.826162790705
FR,France,2001,52297.19709302325
FR,France,2002,52267.79476744186
FR,France,2003,52254.97034883721
FR,France,2004,52977.67325581395
FR,France,2005,53659.40058139535
FR,France,2006,54754.79360465117
FR,France,2007,54790.60813953488
FR,France,2008,53880.387209302324
FR,France,2009,53712.887790697685
FR,France,2010,54346.60174418605
FR,France,2011,54814.69302325582
FR,France,2012,55364.10988372093
FR,France,2013,55980.77674418605
FR,France,2014,56027.69534883721
FR,France,2015,55346.28081395348
FR,France,2016,55453.72441860465
FR,France,2017,56581.804069767444
FR,France,2018,56881.301162790696
FR,France,2019,57682.514534883725
FR,France,2020,53047.112790697676
FR,France,2021,56614.49069767442
FR,France,2022,58323.73546511628
FR,France,2023,58383.00930232559
GB,United Kingdom,1995,46865.64782608696
GB,United Kingdom,1996,47213.7884057971
GB,United Kingdom,1997,50221.13043478261
GB,United Kingdom,1998,51580.16521739131
GB,United Kingdom,1999,51517.98333333334
GB,United Kingdom,2000,55934.8463768116
GB,United Kingdom,2001,55162.54347826087
GB,United Kingdom,2002,56488.83043478262
GB,United Kingdom,2003,56083.57608695653
GB,United Kingdom,2004,57181.99275362319
GB,United Kingdom,2005,57434.22898550726
GB,United Kingdom,2006,58110.23768115942
GB,United Kingdom,2007,58803.205072463774
GB,United Kingdom,2008,60094.21014492754
GB,United Kingdom,2009,54116.95217391305
GB,United Kingdom,2010,61047.79565217392
