country_code,country_name,year,percentile_group,wealth_share
BR,Brazil,2023,top_10pct,0.6970000000000001
BR,Brazil,2023,top_1pct,0.3669
BR,Brazil,2023,top_50pct,0.9763
CA,Canada,1995,bottom_10pct,-0.0156
CA,Canada,1995,bottom_50pct,0.0408
CA,Canada,1995,top_10pct,0.5784
CA,Canada,1995,top_1pct,0.2331
CA,Canada,1995,top_50pct,0.9592
CA,Canada,1996,bottom_10pct,-0.0156
CA,Canada,1996,bottom_50pct,0.0408
CA,Canada,1996,top_10pct,0.5785
CA,Canada,1996,top_1pct,0.2326
CA,Canada,1996,top_50pct,0.9592
CA,Canada,1997,bottom_10pct,-0.0155
CA,Canada,1997,bottom_50pct,0.0408
CA,Canada,1997,top_10pct,0.5796
CA,Canada,1997,top_1pct,0.2336
CA,Canada,1997,top_50pct,0.9592
CA,Canada,1998,bottom_10pct,-0.0154
CA,Canada,1998,bottom_50pct,0.0407
CA,Canada,1998,top_10pct,0.5812
CA,Canada,1998,top_1pct,0.2363
CA,Canada,1998,top_50pct,0.9593
CA,Canada,1999,bottom_10pct,-0.0153
CA,Canada,1999,bottom_50pct,0.0406
CA,Canada,1999,top_10pct,0.5830000000000001
CA,Canada,1999,top_1pct,0.2386
CA,Canada,1999,top_50pct,0.9594
CA,Canada,2000,bottom_10pct,-0.0151
CA,Canada,2000,bottom_50pct,0.0403
CA,Canada,2000,top_10pct,0.5872
CA,Canada,2000,top_1pct,0.2446
CA,Canada,2000,top_50pct,0.9597
CA,Canada,2001,bottom_10pct,-0.0151
CA,Canada,2001,bottom_50pct,0.0403
CA,Canada,2001,top_10pct,0.5872
CA,Canada,2001,top_1pct,0.2448
CA,Canada,2001,top_50pct,0.9597
CA,Canada,2002,bottom_10pct,-0.0151
CA,Canada,2002,bottom_50pct,0.0403
CA,Canada,2002,top_10pct,0.5870000000000001
CA,Canada,2002,top_1pct,0.2441
CA,Canada,2002,top_50pct,0.9597
CA,Canada,2003,bottom_10pct,-0.0151
CA,Canada,2003,bottom_50pct,0.0403
CA,Canada,2003,top_10pct,0.5875
CA,Canada,2003,top_1pct,0.2446
CA,Canada,2003,top_50pct,0.9597
CA,Canada,2004,bottom_10pct,-0.015
CA,Canada,2004,bottom_50pct,0.0401
CA,Canada,2004,top_10pct,0.5898
CA,Canada,2004,top_1pct,0.2484
CA,Canada,2004,top_50pct,0.9599
CA,Canada,2005,bottom_10pct,-0.0149
CA,Canada,2005,bottom_50pct,0.0401
CA,Canada,2005,top_10pct,0.5900000000000001
CA,Canada,2005,top_1pct,0.2481
