country_code,country_name,year,mean_ppp_income,median_ppp_income,mmr
IN,India,2015,15594.517524299601,7126.539022298457,2.1882315490738793
IN,India,2016,16575.152487135507,7322.190766152087,2.263687606140584
IN,India,2017,17359.674299599774,7553.424642652945,2.2982521334193966
IN,India,2018,18248.99691252144,8186.059119496856,2.229277439379535
IN,India,2019,18627.996226415096,8412.471297884505,2.2143310291114457
IN,India,2020,17339.556975414525,8094.4929959977135,2.1421424398029614
IN,India,2021,18032.128158947973,8315.522098341911,2.1684901976922797
IN,India,2022,19164.481275014296,8672.635363064608,2.2097644456070196
IN,India,2023,20353.37975986278,9210.635363064608,2.209769354401052
IT,Italy,1995,53927.35987654321,43365.9549382716,1.2435413898599728
IT,Italy,1996,54828.01172839506,43788.218518518515,1.2521178888610802
IT,Italy,1997,55874.45493827161,44117.66049382716,1.266487259588242
IT,Italy,1998,56489.50185185184,43916.4086419753,1.2862960246220858
IT,Italy,1999,57599.37592592592,44949.06975308642,1.281436440004876
IT,Italy,2000,59404.33271604937,45734.649382716045,1.298891180272158
IT,Italy,2001,60441.31111111111,46373.275308641976,1.3033651539348452
IT,Italy,2002,60096.42654320987,47036.974691358024,1.277642257767297
IT,Italy,2003,59532.8549382716,45419.32160493827,1.3107385322945648
IT,Italy,2004,59894.17839506172,45988.206790123455,1.3023812532721921
IT,Italy,2005,60022.86666666666,46593.788888888885,1.28821604977869
IT,Italy,2006,60873.20555555555,47546.24814814814,1.2802946168514135
IT,Italy,2007,61183.05370370371,46954.94629629629,1.3030161576082921
IT,Italy,2008,59078.87592592592,47316.93395061728,1.2485778556062845
IT,Italy,2009,55470.124691358025,44194.375308641975,1.2551399200456883
IT,Italy,2010,55939.712345679,44106.203086419744,1.2682958049250623
IT,Italy,2011,55945.85617283951,43966.22345679012,1.2724735438744912
IT,Italy,2012,53264.65679012345,41088.58765432098,1.2963370081794965
IT,Italy,2013,52115.59506172838,40560.882716049375,1.2848732959430138
IT,Italy,2014,52109.783333333326,40653.04012345678,1.2818176248340651
IT,Italy,2015,52208.25061728395,41439.94814814814,1.259853183952814
IT,Italy,2016,53589.78148148148,40937.980864197525,1.3090479879614345
IT,Italy,2017,54669.1024691358,41254.47098765432,1.3251679432635532
IT,Italy,2018,55581.37777777778,42016.637654320984,1.3228421139991386
IT,Italy,2019,55660.91543209876,42215.56481481481,1.3184927331012646
IT,Italy,2020,50060.56790123457,38096.37777777777,1.3140505953937622
IT,Italy,2021,54649.01049382716,41588.06419753086,1.3140551633819915
IT,Italy,2022,56669.33333333333,43125.68148148148,1.3140507323384003
IT,Italy,2023,57109.69629629629,43460.76913580247,1.3140516707802579
JP,Japan,1995,51159.60310185185,43979.14500462962,1.163269615552243
JP,Japan,1996,52089.780194444436,43645.96484259259,1.193461534927779
JP,Japan,1997,52225.615231481475,43804.03223148148,1.1922558853827958
JP,Japan,1998,50686.33371759259,42246.89833333333,1.1997646150889245
JP,Japan,1999,49989.06952777778,41099.74534259259,1.2162866001014605
JP,Japan,2000,50882.041180555556,40697.15197222222,1.250260490347949
JP,Japan,2001,50713.58615740741,39510.96409259259,1.2835319846552429
JP,Japan,2002,50374.872814814815,38279.94038888889,1.3159600642804707
JP,Japan,2003,51121.55454629629,38198.36115740741,1.3383180062525488
JP,Japan,2004,52209.865032407404,38170.58566203704,1.3678036144028378
JP,Japan,2005,52995.459606481476,38744.082453703704,1.3678336471074546
JP,Japan,2006,53690.575532407405,39240.681361111114,1.3682375960376836
JP,Japan,2007,54156.275555555556,39410.36307407408,1.3741633248535587
JP,Japan,2008,52812.77622685185,39327.32675925926,1.342902774707858
JP,Japan,2009,49111.99627314815,38769.6461712963,1.266764108605896
JP,Japan,2010,51536.14706018518,40863.232074074076,1.2611862656082606
JP,Japan,2011,52576.218125,41953.21384722222,1.2532107389069822
JP,Japan,2012,53472.15625,42544.03125,1.2568662319699664
JP,Japan,2013,54926.87337962963,43416.802995370366,1.2651063549171644
JP,Japan,2014,55445.806759259256,43875.98599537037,1.2636936926069238
JP,Japan,2015,56509.80761574074,44558.73414814814,1.26820944750939
JP,Japan,2016,56845.42870370371,44925.579162037044,1.265324337804846
JP,Japan,2017,58001.823587962965,45901.48251851852,1.263615473956918
JP,Japan,2018,58523.235254629624,46314.11731018518,1.2636154730678517
JP,Japan,2019,57783.78414351852,45728.93147222222,1.2636154461343352
JP,Japan,2020,54749.327152777776,43327.52239351851,1.2636154602961531
JP,Japan,2021,56854.99314814815,44993.90391666667,1.263615472297079
JP,Japan,2022,58941.64233796296,46645.23638425926,1.2636154708791059
JP,Japan,2023,60492.76358796297,47872.763087962965,1.2636154607748795
KR,South Korea,1995,32547.592675635275,36337.75488846729,0.8956963019739308
KR,South Korea,1996,34467.294457859025,30772.133444291132,1.1200814048287386
KR,South Korea,1997,35788.274060020696,39334.95740427733,0.9098338074246659
KR,South Korea,1998,32300.079889617107,34987.063266643665,0.9232006597253247
KR,South Korea,1999,35733.40696791997,37944.507941244105,0.9417280367227858
KR,South Korea,2000,38727.94886742554,32143.21595895136,1.2048560703099291
KR,South Korea,2001,39753.978026905825,40514.20475106359,0.9812355511152466
KR,South Korea,2002,42296.32031735081,42003.69149591813,1.006966740565198
KR,South Korea,2003,42739.701724732666,41766.370676670114,1.0233041806672045
KR,South Korea,2004,44237.43817408302,42338.54809014602,1.0448501464881115
KR,South Korea,2005,45324.86997815339,42489.42486087156,1.0667329606500038
KR,South Korea,2006,47587.84446360814,36591.632337587675,1.3005116586374565
KR,South Korea,2007,50496.42513510406,38086.89622628492,1.3258214803088875
KR,South Korea,2008,50948.84744164654,37753.554593538,1.3495112709298922
KR,South Korea,2009,50245.67395653673,37394.567799241115,1.3436623796881113
KR,South Korea,2010,53197.201218811075,38536.88277911923,1.3804230488418063
KR,South Korea,2011,54624.048729446935,40489.691944348626,1.3490853129859666
KR,South Korea,2012,54817.62851558009,40969.50758767391,1.3380104312523524
KR,South Korea,2013,55396.771875359314,42219.13568989307,1.312124726622977
KR,South Korea,2014,55987.897596872484,42153.12831091181,1.3282026706041503
KR,South Korea,2015,56783.83695527193,42332.55984764861,1.3413749879438492
KR,South Korea,2016,57565.746372312286,42260.46957974014,1.362165327190533
KR,South Korea,2017,58624.561549959755,43028.4829832126,1.3624594102662626
KR,South Korea,2018,59683.50663447165,42432.177225480045,1.4065624376830792
KR,South Korea,2019,61557.555432907895,46511.36086984017,1.3234950403875256
KR,South Korea,2020,59862.56778199379,45831.177652063925,1.3061538203633305
KR,South Korea,2021,62476.015522593996,57571.91045302977,1.0851822534804583
KR,South Korea,2022,64454.29911463722,59394.9070909509,1.085182253352782
KR,South Korea,2023,64967.99415890536,59868.27919914913,1.0851822539076539
MX,Mexico,1995,47566.608200734394,17305.14534883721,2.7486974100411445
MX,Mexico,1996,49667.639779681755,18069.523500611995,2.7486967090194474
MX,Mexico,1997,52652.94712362302,19155.615116279067,2.7486951895831746
MX,Mexico,1998,54257.003671970626,19739.18378212974,2.7486954005205892
MX,Mexico,1999,54426.56915544676,19800.869400244796,2.748695931238953
MX,Mexico,2000,57051.49222766218,20755.835862913096,2.7486964439530386
MX,Mexico,2001,55531.75746634026,20202.937148102814,2.748697234429354
